feature,place,category,pred,,,,,,,
bonus,Gravy_Restaurant,price,0.65120053,,,,,,,
gravy,Gravy_Restaurant,food,0.04820296,,,,,,,
food,Gravy_Restaurant,food,0.6751481,,,,,,,
Vegetarian,Gravy_Restaurant,food,0.6751481,,,,,,,
place,Gravy_Restaurant,ambience,0.6751481,,,,,,,
veg,Gravy_Restaurant,food,0.6751481,,,,,,,
variety,Gravy_Restaurant,price,0.6751481,,,,,,,
starters,Gravy_Restaurant,service,0.6751481,,,,,,,
dal,Gravy_Restaurant,food,0.61767924,,,,,,,
makhani,Gravy_Restaurant,food,0.61767924,,,,,,,
superb,Gravy_Restaurant,price,0.61767924,,,,,,,
dish,Gravy_Restaurant,food,0.07493648,,,,,,,
masala,Gravy_Restaurant,food,0.07493648,,,,,,,
list,Gravy_Restaurant,food,-0.004593961,,,,,,,
reataurant,Gravy_Restaurant,food,-0.004593961,,,,,,,
starter,Gravy_Restaurant,price,0.1756385,,,,,,,
course,Gravy_Restaurant,price,0.1756385,,,,,,,
quality,Gravy_Restaurant,price,0.90800816,,,,,,,
food,Gravy_Restaurant,food,0.90800816,,,,,,,
needs,Gravy_Restaurant,Non-Categorised,0.90800816,,,,,,,
chicken,Gravy_Restaurant,food,-0.56782144,,,,,,,
veg,Gravy_Restaurant,food,-0.16594979,,,,,,,
curry,Gravy_Restaurant,food,-0.16594979,,,,,,,
taste,Gravy_Restaurant,price,-0.16594979,,,,,,,
improvement,Gravy_Restaurant,price,-7.70E-05,,,,,,,
tandoori,Gravy_Restaurant,food,-7.70E-05,,,,,,,
aloo,Gravy_Restaurant,food,-7.70E-05,,,,,,,
RUn,Gravy_Restaurant,food,0.42384616,,,,,,,
group,Gravy_Restaurant,price,0.42384616,,,,,,,
people,Gravy_Restaurant,service,0.42384616,,,,,,,
food,Gravy_Restaurant,food,-2.57E-05,,,,,,,
north,Gravy_Restaurant,price,-2.57E-05,,,,,,,
restaurant,Gravy_Restaurant,ambience,-0.003112696,,,,,,,
dinner,Gravy_Restaurant,price,-0.003112696,,,,,,,
decision,Gravy_Restaurant,price,0.99068123,,,,,,,
try,Gravy_Restaurant,price,0.12961993,,,,,,,
biryani,Gravy_Restaurant,food,0.12961993,,,,,,,
day,Gravy_Restaurant,price,0.013913929,,,,,,,
review,Gravy_Restaurant,price,0.013913929,,,,,,,
food,Gravy_Restaurant,food,0.9915441,,,,,,,
service,Gravy_Restaurant,service,0.6017098,,,,,,,
review,Gravy_Restaurant,price,0.10711798,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.10711798,,,,,,,
food,Gravy_Restaurant,food,0.74099565,,,,,,,
experience,Gravy_Restaurant,price,0.51732695,,,,,,,
review,Gravy_Restaurant,price,-0.00229422,,,,,,,
restaruant,Gravy_Restaurant,food,0.7085293,,,,,,,
dal,Gravy_Restaurant,food,-0.002188221,,,,,,,
makhani,Gravy_Restaurant,food,-0.002188221,,,,,,,
chef,Gravy_Restaurant,food,-0.001442596,,,,,,,
signature,Gravy_Restaurant,price,-0.001442596,,,,,,,
dish,Gravy_Restaurant,food,-0.001442596,,,,,,,
oil,Gravy_Restaurant,price,0.19283524,,,,,,,
butter(?)/ghee,Gravy_Restaurant,Non-Categorised,0.19283524,,,,,,,
butter,Gravy_Restaurant,food,-0.41628662,,,,,,,
chicken,Gravy_Restaurant,food,-0.5642339,,,,,,,
gravy,Gravy_Restaurant,food,-0.5642339,,,,,,,
service,Gravy_Restaurant,service,0.7172234,,,,,,,
dish,Gravy_Restaurant,food,0.32051766,,,,,,,
dal,Gravy_Restaurant,food,0.00710883,,,,,,,
hours,Gravy_Restaurant,price,0.00710883,,,,,,,
ghee,Gravy_Restaurant,food,-0.002050072,,,,,,,
time,Gravy_Restaurant,price,0.011445023,,,,,,,
review,Gravy_Restaurant,price,-0.002294228,,,,,,,
job,Gravy_Restaurant,price,0.32051766,,,,,,,
preference,Gravy_Restaurant,price,0.018703356,,,,,,,
staff,Gravy_Restaurant,service,0.6256028,,,,,,,
dishes,Gravy_Restaurant,food,0.11107392,,,,,,,
papadum,Gravy_Restaurant,food,0.11107392,,,,,,,
papad,Gravy_Restaurant,food,-0.008864477,,,,,,,
accompaniment,Gravy_Restaurant,food,-0.008864477,,,,,,,
biryani,Gravy_Restaurant,food,-0.008864477,,,,,,,
person,Gravy_Restaurant,price,0.002936654,,,,,,,
food,Gravy_Restaurant,food,-0.002970189,,,,,,,
onions,Gravy_Restaurant,food,-9.92E-05,,,,,,,
tomatoes,Gravy_Restaurant,food,-7.70E-05,,,,,,,
cream,Gravy_Restaurant,food,-0.001667202,,,,,,,
lot,Gravy_Restaurant,price,0.26261112,,,,,,,
love,Gravy_Restaurant,price,0.26261112,,,,,,,
oil,Gravy_Restaurant,price,-0.083612956,,,,,,,
side,Gravy_Restaurant,price,-0.17570809,,,,,,,
dishes,Gravy_Restaurant,food,-0.001545467,,,,,,,
staff,Gravy_Restaurant,service,0.47493705,,,,,,,
cleanliness,Gravy_Restaurant,ambience,-7.70E-05,,,,,,,
effort,Gravy_Restaurant,price,0.7103138,,,,,,,
quality,Gravy_Restaurant,price,0.7103138,,,,,,,
food,Gravy_Restaurant,food,0.9478168,,,,,,,
cleanliness,Gravy_Restaurant,ambience,-0.002429724,,,,,,,
review,Gravy_Restaurant,price,0.27828103,,,,,,,
portions,Gravy_Restaurant,food,0.9478168,,,,,,,
service,Gravy_Restaurant,service,-0.002765022,,,,,,,
value,Gravy_Restaurant,price,0.9267383,,,,,,,
money,Gravy_Restaurant,price,0.9267383,,,,,,,
customers,Gravy_Restaurant,price,0.9267383,,,,,,,
food,Gravy_Restaurant,food,0.59522635,,,,,,,
