word,tag
hang,NN
tasting,VBG
jalapeo,NN
added,VBD
bomb,NN
bbq,NN
miso,NN
melt,VBD
cakes,NNS
responsive,JJ
forward,RB
trying,VBG
voluminousyou,NN
clerk,NN
kindin,VBD
particular,JJ
twice,RB
fun,NN
sling,VBG
suck,JJ
juice,NN
moderately,RB
higher,RBR
low,JJ
english,JJ
deluxe,NN
budget,NN
petfect,NN
crazy,JJ
mac,NN
permanent,JJ
yo,NN
looks,VBZ
craving,VBG
ended,VBN
saw,JJ
internet,JJ
anyway,RB
3am,CD
turns,NNS
1am,CD
underwhelmed,JJ
points,NNS
deceptively,RB
acceptable,JJ
filter,NN
literally,RB
unfavorful,JJ
factory,NN
prefried,VBD
shallots,NNS
atop,JJ
mee,NN
rebus,NN
baconey,NN
mini,NN
hotdog,NN
skinny,JJ
frozen,RB
unexpected,JJ
undercook,JJ
residual,JJ
flour,NN
inspired,VBD
interior,JJ
ceiling,NN
leather,NN
expect,VBP
attack,NN
ton,NN
seating,VBG
supper,JJ
teenage,NN
boys,NNS
bombsmilkshake,VBP
preferred,JJ
foodsuperior,JJ
tastegood,NN
pricestry,NN
froet,JJ
view,NN
chilled,VBD
fry,NN
abundant,NN
temperatured,VBD
mouthful,JJ
home,NN
wheelchair,NN
parking,VBG
prinsep,NN
sunday,NN
gem,VBD
earth,JJ
cheapest,RB
famous,JJ
musky,NN
weekends,NNS
scramble,JJ
toast,JJ
fruit,NN
sgd,NN
offers,NNS
combinations,NNS
create,VBP
favourite,JJ
kopitam,NNS
morning,NN
boil,NN
kaya,NN
coconut,NN
jam,NN
s2,VBD
50,CD
s7,NN
front,NN
catching,VBG
passersby,JJ
workfood,NN
once,RB
mistake,JJ
something,NN
european,JJ
door,NN
business,NN
drink,VBP
prime,JJ
upsized,JJ
plate,NN
butter,NN
absorbed,VBD
suggest,JJ
team,NN
uses,VBZ
longer,JJR
straw,JJ
tall,JJ
glass,NN
frankness,NN
cleanoriginal,JJ
latte,NN
reading,VBG
books,NNS
venue,VBP
staples,NNS
flavor,VBP
dishesi,JJ
pricebut,JJ
cup,NN
places,NNS
bring,VBP
djs,JJ
never,RB
disappoints,VBZ
16,CD
aussie,NN
standards,NNS
810,CD
visited,VBD
larger,JJR
german,JJ
k,NN
cant,NN
recall,NN
pasty,NN
spongie,NN
loaf,NN
crunchy,NN
brunch,NN
latenight,JJ
opportunity,NN
scene,NN
line,NN
station,NN
gourmet,VBD
en,JJ
glad,NN
excited,VBD
smoothie,JJ
jug,NN
aptly,RB
burgerburger,JJ
pro,JJ
tip,NN
easter,NN
tonic,JJ
27,CD
forth,JJ
mince,NN
fish,JJ
goodquality,NN
crowded,VBD
should,MD
able,JJ
grp,NN
weekdays,VBZ
200,CD
middle,JJ
buggis,NN
10min,CD
crowd,NN
provides,VBZ
six,CD
teriible,JJ
tasteless,JJ
musttry,NN
space,NN
dessert,NN
tax,NN
excl,NN
why,WRB
fans,NNS
breakfastkaya,VBP
believe,VBP
strengthweak,NN
deserts,NNS
flow,VBP
raving,VBG
certainly,RB
justicei,JJ
sons,NNS
chose,VBP
among,IN
others,NNS
remaining,VBG
proclaimed,JJ
disagree,JJ
blend,NN
hear,JJ
sentence,NN
received,VBD
oldbrown,JJ
frise,NN
mu,NN
hubby,NN
loose,JJ
stool,NN
pastrami,NN
authentic,JJ
checking,NN
pricegreat,NN
streetplaying,VBG
british,JJ
rock,NN
cater,NN
occasions,NNS
mine,VBP
soggy,JJ
ginett,NN
show,NN
fox,JJ
sports,NNS
channel,NN
lettucetomatoonion,NN
expectations,NNS
abt,VBP
heartwarming,VBG
chillout,NN
spend,VBP
sgd30,NN
read,NN
said,VBD
yes,UH
malt,NN
customizable,JJ
means,VBZ
everyone,NN
waitersoriginal,JJ
unpleasant,JJ
happily,RB
chatting,VBG
02pm,CD
told,VBD
lousy,JJ
cola,NN
filipino,NN
colleague,NN
wont,JJ
comment,NN
criticism,NN
quick,JJ
discounts,NNS
students,NNS
unflavourful,JJ
poor,JJ
passable,JJ
freshly,RB
adorable,JJ
problem,NN
expecting,VBG
pleasantly,RB
surprised,VBN
daily,RB
includes,VBZ
hotdogs,NNS
dip,NN
die,VBP
housepour,JJ
wines,NNS
loving,VBG
wallet,NN
charged,VBN
swap,NN
spite,JJ
being,VBG
