feature,place,category,pred,clause_polarity
instance,Gravy_Restaurant,price,-0.002950385,0
dishes,Gravy_Restaurant,food,0.15346403,0.1875
taste,Gravy_Restaurant,price,0.15346403,0.1875
bit,Gravy_Restaurant,price,0.159528,0.2
time,Gravy_Restaurant,price,0.008172184,0
quality,Gravy_Restaurant,price,-0.001320317,0
visit,Gravy_Restaurant,price,0.24278274,0.25
food,Gravy_Restaurant,food,-0.002811149,0
quantity,Gravy_Restaurant,price,0.58868575,0.6
service,Gravy_Restaurant,service,0.68829906,0.7
quality,Gravy_Restaurant,price,-0.001320317,0
words,Gravy_Restaurant,price,0.3920152,0.4
review,Gravy_Restaurant,price,0.000242747,0
review,Gravy_Restaurant,price,0.1972743,0.2
masala,Gravy_Restaurant,food,0.48958883,0.5
chai,Gravy_Restaurant,food,0.48958883,0.5
restaurant,Gravy_Restaurant,ambience,0.48958883,0.5
prawns,Gravy_Restaurant,food,-0.0028634,0
chicken,Gravy_Restaurant,food,-0.5980016,-0.6
kadahi,Gravy_Restaurant,Non-Categorised,-0.59800166,-0.6
feedback,Gravy_Restaurant,service,0.19691761,0.227272727
day,Gravy_Restaurant,price,0.19691761,0.227272727
review,Gravy_Restaurant,price,0.20557174,0.2
food,Gravy_Restaurant,food,0.7883266,0.8
dime,Gravy_Restaurant,price,0.30687895,0.3
Thanks,Gravy_Restaurant,food,0.15472637,0.1
mile,Gravy_Restaurant,ambience,0.15472637,0.1
service,Gravy_Restaurant,service,0.98574173,1
Thanks,Gravy_Restaurant,food,0.20072067,0.2
lot,Gravy_Restaurant,price,0.20072067,0.2
review,Gravy_Restaurant,price,0.20072067,0.2
moment,Gravy_Restaurant,price,-0.001322478,0
restaurant,Gravy_Restaurant,ambience,0.13231963,0.153333333
ratings,Gravy_Restaurant,price,0.13231963,0.153333333
fuss,Gravy_Restaurant,price,-0.006207787,0
food,Gravy_Restaurant,food,-0.003950633,0.25
speciality,Gravy_Restaurant,food,-0.002188221,0
name,Gravy_Restaurant,price,-0.003526948,0
gravy,Gravy_Restaurant,food,0.050582264,0
meal,Gravy_Restaurant,food,0.003621981,0
words,Gravy_Restaurant,price,0.3085742,0.266666667
spice,Gravy_Restaurant,food,0.011797734,0
level,Gravy_Restaurant,price,0.011797734,0
time,Gravy_Restaurant,price,0.011797734,0
thrice,Gravy_Restaurant,food,-0.001518443,0
food,Gravy_Restaurant,food,0.9824078,1
samosa,Gravy_Restaurant,food,0.00093127,0
items,Gravy_Restaurant,price,0.00093127,0
hospitality,Gravy_Restaurant,price,0.5901861,0.6
Lavanya,Gravy_Restaurant,Non-Categorised,-0.001602776,0
food,Gravy_Restaurant,food,-0.0962869,-0.065833333
quality,Gravy_Restaurant,price,-0.096286915,-0.065833333
levels,Gravy_Restaurant,price,-0.096286915,-0.065833333
restaurant,Gravy_Restaurant,ambience,-0.003291987,0.1
service,Gravy_Restaurant,service,-0.002765022,0
atmosphere,Gravy_Restaurant,ambience,0.6968927,0.7
food,Gravy_Restaurant,food,0.6918436,0.7
service,Gravy_Restaurant,service,0.69859076,0.7
Renu,Gravy_Restaurant,Non-Categorised,-0.001602776,0
